任務領域,詞彙,漢語拼音,詞類
,健康 ,jiànkāng ,N
,感覺,gǎnjué ,N
,感覺 ,gǎnjué ,Vst
,救護車,jiùhùchē,N
,咳嗽,késòu ,Vi
,發燒,fāshāo ,Vp-sep
,疼,téng ,Vs
,保險,băoxiăn ,N
,病,bìng ,N
,看病,kànbìng ,V-sep
,病人,bìngrén ,N
,掛號,guàhào ,V-sep
,牙刷,yáshuā ,N
,剪,jiăn ,V
,藥房,yàofáng ,N
,恢復,huīfù ,Vpt
,救命,jiùmìng,V-sep
,影響 ,yǐngxiǎng ,N
,影響,yǐngxiǎng ,V
購物,飽,bǎo ,Vs
,吃飽,chībǎo ,Vp
,簡單,jiǎndān ,Vs
,書店,shūdiàn ,N
,超級市場/超市,chāojíshìchǎng/chāoshì ,N
,戴,dài ,V
,試,shì ,V
,輕,qīng ,Vs
,重,zhòng ,Vs
,流行,liúxíng ,Vs
,藍色,lánsè ,N
,綠色,lǜsè ,N
,紅色,hóngsè ,N
,黑色,hēisè ,N
,手錶/錶,shǒubiǎo/biǎo,N
,付,fù ,V
,襯衫,chènshān ,N
,毛衣,máoyī ,N
,大衣,dàyī ,N
,牛仔褲,niúzǎikù ,N
,雨衣,yŭyī ,N
,內衣,nèiyī ,N
,帽子,màozi ,N
,皮包,píbāo ,N
,外套,wàitào ,N
,乾,gān ,Vp
,舊,jiù ,Vs
,價格,jiàgé ,N
,價錢,jiàqián ,N
,排隊,páiduì  ,V-sep
,信用卡,xìnyòngkǎ ,N
,毛,máo ,M
,比較,bǐjiào ,Adv
,樣子,yàngzi,N
,特別,tèbié ,Vs
,一般,yībān ,Vs
,圓,yuán ,Vs
,光,guāng ,Vp
,看見,kànjiàn ,V
,其他,qítā,Det
,聲音,shēngyīn ,N
,大聲,dàshēng ,Vs
,好像,hǎoxiàng ,Adv
,像,xiàng ,Vst
,奇怪,qíguài ,Vs
,死,sǐ ,Vp
,髒,zāng ,Vs
,差不多,chàbùduō ,Vs/Adv
,一共,yīgòng ,Adv
,需要,xūyào ,Vst
飲食,牛排,niúpái ,N
,米,mǐ ,N
,三明治,sānmíngzhì ,N
,西瓜,xīguā ,N
,啤酒,píjiǔ ,N
,紅茶,hóngchá ,N
,點菜,diǎncài ,V-sep
,分,fēn ,V
,包,bāo ,M
,酸,suān ,Vs
,苦,kǔ ,Vs
,鹹,xián ,Vs
,辣,là ,Vs
,點心,diǎnxīn ,N
,冰淇淋,bīngqílín ,N
,餅乾,bǐnggān ,N
,漢堡,hànbǎo ,N
,青菜,qīngcài ,N
,鹽,yán ,N
,糖,táng ,N
,煮,zhǔ ,V
,碗 ,wǎn ,M
,盤,pán ,M
,條,tiáo ,M
,位,wèi ,M
,種,zhǒng ,M
,口,kǒu ,M
,夠,gòu ,Vs-pred
,任何,rènhé ,Det
,味道,wèidào ,N
,香,xiāng ,Vs
,全部,quánbù ,Det
,所有,suǒyǒu ,Det
,許多,xǔduō ,Det
,新鮮,xīnxiān ,Vs
,烤,kǎo ,V
,嚐,cháng ,V
,裝,zhuāng ,V
,刀(子),dāo(zi),N
