詞彙,漢語拼音,詞類
素食,sùshí ,N
素質,sùzhí ,N
算命,suànmìng ,V-sep
算術,suànshù ,N
雖說,suīshuō ,Conj
隨,suí ,Adv
隨,suí ,Prep
隨後,suíhòu ,N
隨即,suíjí ,Adv
隨身,suíshēn ,Adv
隨同,suítóng ,Prep
隧道,suìdào ,N
歲月,suìyuè ,N
損,sŭn ,V
損害,sŭnhài ,V
損壞,sŭnhuài ,V
損傷,sŭnshāng ,Vst
縮小,suōxiăo ,Vp
所得,suǒdé,N
所在,suǒzài ,N
索賠,suǒpéi ,Vi
瑣碎,suǒsuì ,Vs
牠,tā,N
他人,tārén ,N
塔,tă ,N
踏實,tàshí ,Vs
台,tái,M
台階,táijiē ,N
太極拳,tàijíquán ,N
太平,tàipíng ,Vs
態勢,tàishì ,N
貪,tān ,Vs
貪心,tānxīn ,Vs
攤位,tānwèi ,N
痰,tán ,N
談論,tánlùn ,V
彈性,tánxìng ,N
坦克,tănkè ,N
坦然,tănrán ,Vs
探病,tànbìng ,V-sep
探究,tànjiù ,V
探索,tànsuǒ ,V
探望,tànwàng ,V
探險,tànxiăn ,Vi
湯圓,tāngyuán ,N
堂堂,tángtáng ,Vs
倘若,tăngruò ,Conj
陶器,táoqì ,N
逃生,táoshēng ,Vi
逃稅,táoshuì ,V-sep
淘汰,táotài ,V
套房,tàofáng,N
套裝,tàozhuāng ,N
特此,tècǐ ,Adv
特區,tèqū ,N
特權,tèquán ,N
特約,tèyuē ,Vs-attr
特徵,tèzhēng,N
疼愛,téngài ,Vst
剔除,tīchú ,V
啼,tí ,Vi
提拔,tíbá ,V
提倡,tíchàng ,V
提出,tíchū ,Vpt
提及,tíjí ,V
提名,tímíng ,V
提升,tíshēng ,V
提議,tíyì ,V
體操,tǐcāo ,N
體格,tǐgé ,N
體積,tǐjī ,N
體諒,tǐliàng ,Vst
體面,tǐmiàn ,Vs
體系,tǐxì ,N
體質,tǐzhí ,N
替代,tìdài ,Vst
添,tiān ,V
天敵,tiāndí ,N
天然氣,tiānránqì ,N
天性,tiānxìng ,N
天災,tiānzāi ,N
田地,tiándì ,N
田徑,tiánjìng ,N
甜美,tiánměi ,Vs
挑剔,tiāotī ,V
調和,tiáohé ,V
調和,tiáohé ,Vs
調節,tiáojié ,V
調皮,tiáopí ,Vs
條例,tiáolì ,N
挑戰,tiǎozhàn,N
聽寫,tīngxiě ,V
停頓,tíngdùn ,Vi
停留,tíngliú ,Vi
停滯,tíngzhì ,Vi
通,tōng ,M
通報,tōngbào ,V
通車,tōngchē ,Vp
通稱,tōngchēng ,Vst
通貨膨脹,tōnghuòpéngzhàng ,Vs
通緝,tōngqì ,V
通行,tōngxíng ,Vi
通用,tōngyòng ,Vs
同伴,tóngbàn ,N
同化,tónghuà ,V
同鄉,tóngxiāng ,N
同心,tóngxīn ,Vs
同性戀,tóngxìngliàn ,N
同業,tóngyè ,N
統計,tǒngjì,N
統統,tǒngtǒng ,Adv
統制,tǒngzhì ,V
痛恨,tònghèn ,Vst
偷渡,tōudù ,Vi
偷懶,tōulăn ,Vs
投保,tóubăo ,V
投機,tóujī ,Vs
投入,tóurù ,Vs
透明,tòumíng ,Vs
徒弟,túdì ,N
突擊,tújí ,V
突兀,túwù ,Vs
塗,tú ,V
圖,tú ,V
圖表,túbiǎo,N
圖畫,túhuà ,N
圖騰,túténg ,N
土壤,tŭrăng ,N
團,tuán,M
團聚,tuánjù ,Vs
團員,tuányuán ,N
推測,tuīcè ,V
推崇,tuīchóng ,Vst
推出,tuīchū ,Vpt
推選,tuīxuăn ,V
退化,tuìhuà ,Vp
吞吞吐吐,tūntūntŭtŭ ,Vi
托,tuō ,V
拖,tuō ,V
拖累,tuōlèi ,V
拖延,tuōyán ,Vst
脫身,tuōshēn ,Vp
脫手,tuōshǒu ,Vp
瓦斯,wăsī ,N
外表,wàibiǎo,N
外號,wàihào ,N
外力,wàilì ,N
外貿,wàimào ,N
外線,wàixiàn ,N
外銷,wàixiāo ,V
外遇,wàiyù ,N
外在,wàizài ,N
外資,wàizī ,N
外祖父,wàizŭfù ,N
外祖母,wàizŭmŭ ,N
彎曲,wānqū ,Vs
完備,wánbèi ,Vs
完美,wánměi,Vs
玩弄,wánnòng ,V
頑強,wánqiáng ,Vs
挽,wăn ,V
挽救,wănjiù ,V
萬分,wànfēn ,Adv
萬事,wànshì,N
萬歲,wànsuì ,Vs
萬萬,wànwàn ,Adv
萬物,wànwù ,N
惋惜,wànxí ,Vs
亡國,wángguó ,Vp
往來,wănglái ,Vi
旺季,wàngjì ,N
旺盛,wàngshèng ,Vs
威風,wēifēng ,Vs
威力,wēilì ,N
萎縮,wēisuō,Vs
為,wéi ,Vst
為人,wéirén,N
為生,wéishēng ,Vs
為首,wéishǒu ,Vs
為止,wéizhǐ,N
違背,wéibèi ,Vpt
違約,wéiyuē ,V-sep
危害,wéihài ,V
圍巾,wéijīn ,N
圍牆,wéiqiáng ,N
圍繞,wéirào ,V
微弱,wéiruò ,Vs
微小,wéixiăo ,Vs
維生素,wéishēngsù ,N
胃,wèi ,N
胃口,wèikǒu ,N
未必,wèibì ,Adv
未婚夫,wèihūnfū ,N
未婚妻,wèihūnqī ,N
未免,wèimiăn ,Adv
衛生,wèishēng,N
溫,wēn ,Vs
溫帶,wēndài ,N
溫泉,wēnquán ,N
溫習,wēnxí ,V
溫馴,wēnxún ,Vs
瘟疫,wēnyì ,N
文明,wénmíng,N
文壇,wéntán ,N
文獻,wénxiàn ,N
聞名,wénmíng ,Vst
穩健,wěnjiàn ,Vs
紊亂,wènluàn ,Vs
問世,wènshì ,Vp
臥,wò ,Vi
烏龜,wūguī ,N
烏龍茶,wūlóngchá ,N
烏鴉,wūyā ,N
汙染/污染,wūrǎn,N
無比,wúbǐ ,Vs
無線電,wúxiàndiàn ,N
無形,wúxíng,Vs
無疑,wúyí ,Adv
五金,wŭjīn ,N
武力,wŭlì ,N
武士,wŭshì ,N
武裝,wŭzhuāng ,N
侮辱,wŭrù ,V
物產,wùchăn ,N
物品,wùpǐn ,N
物體,wùtǐ ,N
物資,wùzī ,N
誤差,wùchā,N
誤解,wùjiě ,Vst
務實,wùshí ,Vs
西服,xīfú ,N
西洋,xīyáng ,N
西醫,xīyī ,N
溪流,xīliú ,N
席,xí ,M
席位,xíwèi ,N
錫,xí ,N
襲擊,xíjí ,V
昔日,xírì  ,N
習題,xítí ,N
洗禮,xǐlǐ ,N
喜氣,xǐqì ,N
喜悅,xǐyuè ,Vs
系,xì,N
戲曲,xìqŭ ,N
瑕疵,xiácī ,N
峽谷,xiágŭ ,N
狹小,xiáxiăo ,Vs
狹窄,xiázhăi ,Vs
下筆,xiàbǐ ,Vi
下跌,xiàdié ,Vp
下滑,xiàhuá,Vp
下列,xiàliè ,Vs-attr
下水,xiàshuǐ ,V-sep
下水道,xiàshuǐdào ,N
下旬,xiàxún ,N
掀,xiān ,V
仙丹,xiāndān ,N
先後,xiānhòu ,N
先進,xiānjìn ,N
先驅,xiānqū ,N
先天,xiāntiān ,Vs-attr
鮮明,xiānmíng ,Vs
鮮艶/豔,xiānyàn ,Vs
纖維,xiānwéi ,N
嫌疑,xiányí ,N
顯現,xiănxiàn ,Vst
限,xiàn ,Vst
限度,xiàndù ,N
憲法,xiànfă ,N
線路,xiànlù ,N
陷入,xiànrù ,V
獻身,xiànshēn ,V-sep
現今,xiànjīn,N
現行,xiànxíng ,Vs-attr
現狀,xiànzhuàng ,N
相傳,xiāngchuán ,Vi
相仿,xiāngfăng ,Vs
相符,xiāngfú ,Vs
相繼,xiāngjì ,Adv
相配,xiāngpèi ,Vs
鄉土,xiāngtŭ ,Vs
香皂,xiāngzào ,N
鑲,xiāng ,V
想開,xiăngkāi ,Vp
響亮,xiăngliàng ,Vs
向,xiàng ,Adv
項,xiàng ,M
嚮導,xiàngdăo ,N
嚮往,xiàngwăng ,Vst
象徵,xiàngzhēng ,N
象徵,xiàngzhēng ,Vst
消毒,xiāodú ,V-sep
消防,xiāofáng ,Vs-attr
消耗,xiāohào ,V
消遣,xiāoqiăn ,N
消遣,xiāoqiăn ,V
瀟灑,xiāosă ,Vs
逍遙,xiāoyáo ,Vs
小販,xiăofàn ,N
小伙/夥子,xiăohuǒzi ,N
效法,xiàofă ,V
效勞,xiàoláo ,Vi
效力,xiàolì ,N
效忠,xiàozhōng ,V
笑嘻嘻,xiàoxīxī ,Vi
孝子,xiàozǐ ,N
協辦,xiébàn ,V
協定,xiédìng ,N
協會,xiéhuì ,N
協商,xiéshāng ,V
協調,xiétiáo ,V
協調,xiétiáo ,Vs
協議,xiéyì ,N
協議,xiéyì ,V
血汗,xiěhàn ,N
血跡,xiějī ,N
血壓,xiěyā ,N
寫實,xiěshí ,Vs
寫作,xiězuò ,Vi
洩氣,xièqì ,Vs
心愛,xīnài ,Vs-attr
心軟,xīnruăn ,Vs
心事,xīnshì ,N
心思,xīnsī ,N
心酸,xīnsuān ,Vs
心態,xīntài ,N
心疼,xīnténg ,Vs
心胸,xīnxiōng ,N
辛勤,xīnqín ,Vs
辛酸,xīnsuān ,Vs
新潮,xīncháo ,Vs
新手,xīnshǒu ,N
新穎,xīnyǐng ,Vs
信賴,xìnlài ,Vst
信念,xìnniàn ,N
信徒,xìntú ,N
信息,xìnxí ,N
星辰,xīngchén ,N
星座,xīngzuò ,N
興建,xīngjiàn,V
興隆,xīnglóng ,Vs
興起,xīngqǐ ,Vpt
行善,xíngshàn ,Vi
行使,xíngshǐ ,V
行星,xíngxīng ,N
行政,xíngzhèng ,N
刑事,xíngshì ,N
形勢,xíngshì ,N
形態,xíngtài ,N
形體,xíngtǐ ,N
形形色色,xíngxíngsèsè ,Vs
型態,xíngtài ,N
性,xìng,N
性能,xìngnéng ,N
性情,xìngqíng ,N
興致,xìngzhì ,N
胸,xiōng ,N
胸口,xiōngkǒu ,N
修補,xiūbŭ ,V
修訂,xiūdìng ,V
修建,xiūjiàn ,V
修女,xiūnǚ ,N
修養,xiūyăng ,N
修築,xiūzhú ,V
繡,xiù ,V
須,xū ,Adv
虛擬,xūnǐ ,V
虛心,xūxīn ,Vs
許,xŭ,N
許多,xŭduō ,Adv
許久,xŭjiŭ ,N
許可,xŭkě ,V
酗酒,xùjiŭ ,Vi
序幕,xùmù ,N
敘述,xùshù ,V
宣稱,xuānchēng ,V
宣告,xuāngào ,V
宣示,xuānshì ,V
宣誓,xuānshì ,Vi
宣言,xuānyán ,N
宣揚,xuānyáng ,V
旋律,xuánlǜ,N
旋轉,xuánzhuăn ,Vi
懸殊,xuánshū ,Vs
懸崖,xuányái ,N
選拔,xuănbá ,V
選購,xuăngòu ,V
選民,xuănmín ,N
選票,xuănpiào ,N
選修,xuănxiū ,V
學分,xuéfēn ,N
學科,xuékē ,N
學年,xuénián ,N
學識,xuéshì ,N
學說,xuéshuō ,N
學徒,xuétú ,N
學員,xuéyuán ,N
學制,xuézhì ,N
雪人,xuěrén ,N
削弱,xuèruò ,V
循環,xúnhuán ,N
巡邏,xúnluó ,Vi
巡視,xúnshì ,V
詢問,xúnwèn ,V
訓,xùn ,V
押,yā ,V
鴉片,yāpiàn ,N
壓歲錢,yāsuìqián ,N
壓縮,yāsuō ,V
壓制,yāzhì ,V
牙科,yákē ,N
芽,yá ,N
啞,yă ,Vp
亞軍,yàjūn ,N
亞洲,yàzhōu,N
淹,yān ,V
研究所,yánjiùsuǒ,N
言論,yánlùn ,N
岩石,yánshí ,N
延遲,yánchí ,Vpt
延伸,yánshēn ,Vs
延誤,yánwù ,Vpt
延續,yánxù ,Vst
沿海,yánhăi ,N
沿途,yántú ,N
沿襲,yánxí ,Vst
沿用,yányòng ,V
嚴禁,yánjìn ,V
嚴厲,yánlì ,Vs
嚴密,yánmì ,Vs
演變,yănbiàn ,Vs
演講,yǎnjiǎng,N
演說,yănshuō ,N
演習,yănxí ,Vi
眼界,yănjiè ,N
眼看,yănkàn ,V
衍生,yănshēng ,V
燕窩,yànwō ,N
燕子,yànzi ,N
央求,yāngqiú ,V
仰,yăng ,V
仰慕,yăngmù ,Vst
養分,yăngfèn  ,N
養老,yănglăo ,Vs
養育,yǎngyù,V
邀,yāo ,V
窯,yáo ,N
搖晃(ㄏㄨㄤ˙),yáohuang ,Vi
謠言,yáoyán ,N
遙遠,yáoyuăn ,Vs
要點,yàodiăn ,N
要犯,yàofàn ,N
藥品,yàopǐn ,N
葉,yè ,M
業績,yèjī ,N
依,yī ,Prep
依舊,yījiù ,Adv
依據,yījù ,Prep
依賴,yīlài ,Vst
依照,yīzhào ,Prep
醫療,yīliáo ,N
醫療,yīliáo,N
醫術,yīshù ,N
醫藥,yīyào ,N
一定,yīdìng,Vs-attr
一道,yídào ,Adv
一度,yídù ,Adv
一概,yígài ,Adv
一貫,yíguàn ,Vs-attr
一律,yílǜ,Adv
一味,yíwèi ,Adv
咦,yí ,Ptc
儀表,yíbiăo ,N
遺產,yíchăn ,N
遺傳,yíchuán ,Vst
遺憾,yíhàn ,Vs
遺留,yíliú ,V
遺棄,yíqì ,V
遺體,yítǐ ,N
遺忘,yíwàng ,Vpt
遺志,yízhì ,N
遺址,yízhǐ ,N
疑慮,yílǜ,N
移植,yízhí ,V
倚,yǐ ,V
以至/致(於),yǐzhì(yú)  ,Conj
亦,yì ,Adv
亦,yì ,Conj
一連串,yìliánchuàn ,Vs-attr
一流,yìliú ,Vs
一如,yìrú ,Prep
一心,yìxīn ,Adv
液體,yètǐ,N
抑制,yìzhì ,V
意識到,yìshìdào ,Vpt
意圖,yìtú ,N
意味,yìwèi ,Vst
毅力,yìlì ,N
翌日,yìrì ,N
異常,yìcháng ,Vs
異鄉,yìxiāng ,N
議定,yìdìng ,V
議論,yìlùn ,V
議題,yìtí ,N
議員,yìyuán ,N
音,yīn,N
因果,yīnguǒ ,N
陰謀,yīnmóu ,N
陰影,yīnyǐng,N
銀幕,yínmù,N
銀色,yínsè ,N
銀子,yínzi ,N
引,yǐn ,V
引導,yǐndăo ,V
引進,yǐnjìn ,V
引擎,yǐnqíng ,N
隱藏,yǐncáng ,V
隱士,yǐnshì ,N
隱約,yǐnyuē ,Adv
印證,yìnzhèng ,V
櫻桃,yīngtáo ,N
英勇,yīngyǒng ,Vs
英語,yīngyǔ,N
應,yīng ,Prep
應,yìng ,V
鷹,yīng  ,N
營地,yíngdì ,N
營造,yíngzào ,V
迎,yíng ,V
迎合,yínghé ,Vst
影射,yǐngshè ,Vst
硬,yìng ,Adv
硬體,yìngtǐ,N
應變,yìngbiàn ,Vi
應酬,yìngchóu ,Vi
應急,yìngjí ,Vs
應驗,yìngyàn ,Vpt
應徵,yìngzhēng ,V
唷,yō ,Ptc
湧,yǒng ,V
踴躍,yǒngyuè ,Vs
用戶,yònghù ,N
用途,yòngtú ,N
用心,yòngxīn ,N
悠久,yōujiŭ ,Vs
悠閒,yōuxián ,Vs
優待,yōudài ,V
優勢,yōushì ,N
優先,yōuxiān ,Adv
優異,yōuyì ,Vs
鈾,yóu ,N
由來,yóulái ,N
遊覽,yóulăn ,V
油田,yóutián ,N
油條,yóutiáo ,N
友愛,yǒuài ,Vs
有機,yǒujī ,Vs-attr
有理,yǒulǐ ,Vs
有所,yǒusuǒ,Vst
有為,yǒuwéi ,Vs
有限,yǒuxiàn ,Vs
有形,yǒuxíng ,Vs
有心人,yǒuxīnrén ,N
有益,yǒuyì ,Vs
有意,yǒuyì ,Vaux
有緣,yǒuyuán ,Vs
誘惑,yòuhuò,V
幼稚,yòuzhì ,Vs
于,yú ,Prep
於,yú ,Prep
逾,yú ,Vst
餘,yú ,N
餘,yú ,Vst
愚蠢,yúchŭn ,Vs
輿論,yúlùn ,N
漁民,yúmín ,N
予,yŭ ,V
予以,yŭyǐ ,V
與會,yŭhuì ,Vi
雨季,yŭjì ,N
語文,yŭwén ,N
宇宙,yŭzhòu ,N
愈,yù,Adv
玉器,yùqì ,N
預測,yùcè ,V
預防,yùfáng ,V
預告,yùgào ,V
預估,yùgū ,V
預賽,yùsài ,N
預約,yùyuē ,V
寓言,yùyán ,N
園林,yuánlín ,N
元氣,yuánqì ,N
元首,yuánshǒu ,N
元素,yuánsù ,N
原,yuán ,Adv
原本,yuánběn,Adv
原形,yuánxíng ,N
原野,yuányě ,N
原狀,yuánzhuàng ,N
原住民,yuánzhùmín,N
原子,yuánzǐ  ,N
原子彈,yuánzǐdàn ,N
援助,yuánzhù ,V
遠景,yuănjǐng ,N
怨,yuàn ,Vst
約束,yuēshù ,V
躍,yuè ,Vi
樂隊,yuèduì ,N
月台,yuètái ,N
運,yùn,V
運行,yùnxíng ,Vi
孕婦,yùnfù ,N
醞釀,yùnniàng ,V
栽,zāi ,V
災禍,zāihuò ,N
災情,zāiqíng ,N
在場,zàichăng ,Vi
在世,zàishì ,Vs
在座,zàizuò ,Vi
再三,zàisān ,Adv
再生,zàishēng ,Vs-attr
咱,zán ,N
贊助,zànzhù ,V
讚嘆/歎,zàntàn ,Vi
贓物,zāngwù ,N
遭,zāo ,M
遭,zāo ,Prep
遭,zāo ,Ptc
遭遇,zāoyù,Vst
造反,zàofăn ,Vi
造化,zàohuà ,N
造物主,zàowùzhŭ ,N
造型,zàoxíng ,N
責備,zébèi ,V
增進,zēngjìn ,V
增強,zēngqiáng ,Vp
增值,zēngzhí,Vp
贈,zèng ,V
扎,zhā,V
炸藥,zhàyào,N
沾,zhān ,V
盞,zhăn ,M
展望,zhănwàng ,Vst
展現,zhănxiàn ,V
嶄新,zhănxīn ,Vs-attr
占/佔據,zhànjù ,V
占/佔領,zhànlǐng ,V
顫抖,zhàndǒu ,Vi
戰火,zhànhuǒ ,N
戰機,zhànjī ,N
戰亂,zhànluàn ,N
戰略,zhànlüè ,N
戰勝,zhànshèng ,V
戰士,zhànshì ,N
戰術,zhànshù ,N
戰線,zhànxiàn ,N
戰友,zhànyǒu ,N
戰戰兢兢,zhànzhànjīngjīng ,Vs
張開,zhāngkāi ,V
張貼,zhāngtiē ,V
長子,zhǎngzǐ,N
帳篷,zhàngpéng ,N
丈,zhàng ,M
朝氣,zhāoqì ,N
著想,zháoxiăng ,Vs
找尋,zhăoxún ,V
沼澤,zhăozé ,N
召集,zhàojí ,V
照例,zhàolì ,Adv
照耀,zhàoyào ,V
遮,zhē ,V
遮蔽,zhēbì ,V
折騰,zhēténg ,V
針灸,zhēnjiŭ ,Vi
真情,zhēnqíng ,N
診斷,zhěnduàn ,V
診所,zhěnsuǒ ,N
鎮定,zhèndìng ,Vs
鎮壓,zhènyā ,V
振動,zhèndòng ,Vi
震驚,zhènjīng ,Vs
陣營,zhènyíng ,N
蒸,zhēng ,V
蒸發,zhēngfā ,Vi
蒸氣,zhēngqì ,N
爭辯,zhēngbiàn ,Vi
爭奪,zhēngduó ,V
爭論,zhēnglùn ,N
爭氣,zhēngqì ,Vs
爭議,zhēngyì ,N
徵收,zhēngshōu ,V
掙扎,zhēngzhá ,Vi
整,zhěng ,V
整頓,zhěngdùn ,V
整體,zhěngtǐ ,N
整整,zhěngzhěng ,Adv
正當,zhèngdāng ,Vs
正面,zhèngmiàn ,Adv
正統,zhèngtǒng ,N
正義,zhèngyì ,N
政績,zhèngjī ,N
政見,zhèngjiàn ,N
政權,zhèngquán ,N
證券,zhèngquàn ,N
證人,zhèngrén ,N
掙,zhèng,V
之內,zhīnèi ,N
之所以,zhīsuǒyǐ,Conj
支撐,zhīchēng ,V
支付,zhīfù ,V
支配,zhīpèi ,V
支應,zhīyìng,V
知足,zhīzú ,Vs
脂肪,zhīfáng ,N
織,zhī ,V
直徑,zhíjìng ,N
值班,zhíbān ,V-sep
值錢,zhíqián ,Vs
殖民,zhímín ,Vi
質量,zhíliàng ,N
質疑,zhíyí ,V
職務,zhíwù ,N
職責,zhízé ,N
執照,zhízhào ,N
執政,zhízhèng ,Vi
執著,zhízhuó,Vs
止,zhĭ,N
只得,zhǐděi,Adv
指標,zhǐbiāo ,N
指點,zhǐdiăn ,V
指揮,zhǐhuī ,N
指揮,zhǐhuī ,V
指控,zhǐkòng ,V
指南針,zhǐnánzhēn ,N
指數,zhǐshù ,N
指頭,zhǐtou,N
指望,zhǐwàng ,Vst
指紋,zhǐwén ,N
指引,zhǐyǐn ,V
指正,zhǐzhèng ,V
至,zhì,Conj
至,zhì ,Prep
至今,zhìjīn ,Adv
治安,zhìān ,N
治本,zhìběn ,Vi
治標,zhìbiāo ,Vi
治理,zhìlǐ ,V
治療,zhìliáo ,V
志趣,zhìqù ,N
志向,zhìxiàng ,N
致詞,zhìcí ,Vi
致富,zhìfù ,Vs
致力,zhìlì ,Vst
致命,zhìmìng ,Vs
致意,zhìyì ,Vi
智力,zhìlì ,N
制裁,zhìcái ,V
制訂,zhìdìng ,V
製品,zhìpǐn ,N
滯留,zhìliú ,Vi
中斷,zhōngduàn ,V
中和,zhōnghé ,V
中立,zhōnglì ,Vs
中旬,zhōngxún ,N
中葉,zhōngyè ,N
中醫,zhōngyī ,N
中庸,zhōngyōng ,Vs
忠實,zhōngshí ,Vs
衷心,zhōngxīn ,Adv
終場,zhōngchăng ,N
終結,zhōngjié ,V
終究,zhōngjiù ,Adv
終身,zhōngshēn ,N
種種,zhǒngzhǒng,Det
種植,zhòngzhí ,V
中風,zhòngfēng ,Vp
中獎,zhòngjiăng ,Vp
中肯,zhòngkěn,Vs
中暑,zhòngshŭ ,Vp
重用,zhòngyòng ,V
重鎮,zhòngzhèn ,N
周邊,zhōubiān ,N
周密,zhōumì ,Vs
周詳,zhōuxiáng ,Vs
周遊,zhōuyóu ,V
周轉,zhōuzhuăn ,V
皺,zhòu ,Vs
皺紋,zhòuwén ,N
株,zhū ,M
諸多,zhūduō ,Det
逐,zhú ,Prep
逐,zhú ,V
逐步,zhúbù ,Adv
主導,zhŭdăo ,V
主管,zhŭguăn ,V
主見,zhŭjiàn ,N
主力,zhŭlì ,N
主流,zhŭliú ,N
主權,zhŭquán ,N
主人翁,zhŭrénwēng ,N
主義,zhŭyì ,N
主宰,zhŭzăi ,V
主旨,zhŭzhǐ ,N
主軸,zhŭzhóu ,N
囑咐,zhŭfù ,V
矚目,zhŭmù ,Vi
注定,zhùdìng ,Vaux
注目,zhùmù ,Vi
注視,zhùshì ,V
注重,zhùzhòng ,Vst
住戶,zhùhù ,N
住宿,zhùsù ,Vi
柱子,zhùzi ,N
助教,zhùjiào ,N
助手,zhùshǒu ,N
佇立,zhùlì ,Vi
著作,zhùzuò ,N
駐,zhù ,V
抓緊,zhuājǐn ,V
專櫃,zhuānguì ,N
專員,zhuānyuán ,N
專制,zhuānzhì ,Vs
磚,zhuān ,N
轉動,zhuăndòng ,V
轉化,zhuănhuà ,Vp
轉機,zhuănjī ,N
轉手,zhuănshǒu ,V
轉向,zhuănxiàng ,Vi
轉眼,zhuănyăn ,Adv
轉移,zhuănyí ,V
轉帳,zhuănzhàng ,V-sep
撰寫,zhuànxiě ,V
莊嚴,zhuāngyán ,Vs
裝備,zhuāngbèi ,N
裝潢,zhuānghuáng ,V
裝配,zhuāngpèi ,V
裝運,zhuāngyùn ,V
裝置,zhuāngzhì ,V
壯觀,zhuàngguān ,Vs
壯麗,zhuànglì ,Vs
狀元,zhuàngyuán ,N
追捕,zhuībŭ ,V
追查,zhuīchá ,V
追究,zhuījiù ,V
準,zhŭn ,Adv
準備,zhǔnbèi,N
準則,zhŭnzé ,N
准許,zhŭnxŭ ,V
卓越,zhuóyuè ,Vs
著手,zhuóshǒu ,Vi
著眼,zhuóyăn ,Vi
著重,zhuózhòng ,Vs
酌量,zhuóliàng ,Adv
資深,zīshēn ,Vs
資助,zīzhù ,V
姿勢,zīshì ,N
姿態,zītài ,N
滋味,zīwèi ,N
子彈,zǐdàn ,N
子弟,zǐdì ,N
子孫,zǐsūn ,N
紫外線,zǐwàixiàn ,N
自,zì ,Prep
自稱,zìchēng ,Vst
自費,zìfèi ,Vi
自豪,zìháo ,Vs
自覺,zìjué ,Vst
自立,zìlì ,Vs
自滿,zìmăn ,Vs
自然,zìrán,Adv
自身,zìshēn ,N
自行,zìxíng ,Adv
自制,zìzhì ,Vi
自治,zìzhì ,Vi
自傳,zìzhuàn,N
字體,zìtǐ ,N
字眼/字眼兒,zìyăn/zìyănr,N
字樣,zìyàng ,N
宗旨,zōngzhǐ ,N
總裁,zǒngcái ,N
總得,zǒngděi ,Adv
總額,zǒngé ,N
總和,zǒnghé ,N
總結,zǒngjié ,N
總經理,zǒngjīnglǐ ,N
總數,zǒngshù ,N
縱火,zònghuǒ ,V-sep
縱容,zòngróng,Vst
縱使,zòngshǐ ,Conj
走廊,zǒuláng ,N
揍,zòu ,V
租賃,zūlìn ,V
足,zú ,Det
足夠,zúgòu,Vs
祖宗,zŭzōng ,N
阻擋,zŭdăng ,V
阻力,zŭlì ,N
阻撓,zŭnáo ,V
阻塞,zŭsè ,Vs
組織,zŭzhī ,V
組裝,zŭzhuāng ,V
鑽研,zuānyán ,V
嘴唇,zuǐchún ,N
罪惡,zuìè ,N
罪名,zuìmíng ,N
罪行,zuìxíng ,N
尊,zūn ,M
尊,zūn ,Vst
尊嚴,zūnyán ,N
遵循,zūnxún ,Vst
作風,zuòfēng ,N
作怪,zuòguài ,Vi
作為,zuòwéi ,N
作物,zuòwù ,N
作戰,zuòzhàn ,Vi
作證,zuòzhèng ,V-sep
坐牢,zuòláo ,V-sep
坐鎮,zuòzhèn ,Vi
座談,zuòtán ,Vi
座右銘,zuòyòumíng ,N
