詞彙,漢語拼音,詞類
廢止,fèizhǐ ,V
費力,fèilì ,Vs
沸騰,fèiténg ,Vp
肺炎,fèiyán ,N
分貝,fēnbèi ,M
分辨,fēnbiàn ,V
分寸,fēncùn ,N
分擔,fēndān ,V
分發,fēnfā ,Vi
分割,fēngē ,V
分化,fēnhuà ,Vpt
分級,fēnjí ,V-sep
分家,fēnjiā ,V-sep
分解,fēnjiě ,V
分離,fēnlí ,Vs
分裂,fēnliè ,Vp
分泌,fēnmì ,V
分明,fēnmíng ,Adv
分享,fēnxiăng ,V
分子,fēnzǐ ,N
墳墓,fénmù,N
粉紅,fěnhóng ,Vs-attr
粉刷,fěnshuā ,V
分量,fènliàng ,N
糞,fèn,N
封,fēng ,V
封閉,fēngbì ,Vs
封鎖,fēngsuǒ ,V
封條,fēngtiáo ,N
風暴,fēngbào ,N
風潮,fēngcháo ,N
風光,fēngguāng ,N
風光,fēngguāng ,Vs
風化,fēnghuà ,Vp
風力,fēnglì ,N
風尚,fēngshàng ,N
風水,fēngshuǐ ,N
風行,fēngxíng,Vs
鋒面,fēngmiàn ,N
豐盛,fēngshèng ,Vs
豐收,fēngshōu ,Vs
縫,fèng ,N
奉獻,fèngxiàn ,V
奉養,fèngyàng ,V
佛經,fójīng ,N
佛像,fóxiàng ,N
否決,fǒujué ,V
膚淺,fūqiăn ,Vs
敷衍,fūyăn ,V
俘虜,fúlŭ ,N
俘虜,fúlŭ ,V
浮動,fúdòng ,Vi
服從,fúcóng ,V
服飾,fúshì ,N
服務,fúwù,N
服刑,fúxíng ,V-sep
幅度,fúdù ,N
福氣,fúqì ,N
輻射,fúshè ,N
斧頭,fŭtou ,N
撫養,fŭyăng ,V
撫育,fŭyù ,V
腐爛,fŭlàn ,Vp
腐蝕,fŭshí ,Vst
腐朽,fŭxiŭ ,Vp
付,fù,M
付款,fùkuăn ,V-sep
負,fù ,Vst
負面,fùmiàn,N
副,fù ,M
富,fù ,Vs-attr
富貴,fùguì ,N
富有,fùyǒu ,Vs
婦人,fùrén ,N
附上,fùshàng ,Vpt
復甦,fùsū ,Vp
復原,fùyuán ,Vp
賦予,fùyŭ ,V
該死,gāisǐ ,Vs
改編,găibiān ,V
改觀,găiguān ,Vp
改良,găiliáng ,V
改選,găixuăn ,V
鈣,gài ,N
概,gài ,Adv
概括,gàiguā ,Vst
概況,gàikuàng ,N
蓋章,gàizhāng ,V-sep
尷尬,gāngà,Vs
干擾,gānrăo ,V
干涉,gānshè ,V
乾燥,gānzào ,Vs
感觸,gănchù ,N
感性,gănxìng,Vs
趕忙,gănmáng ,Adv
綱領,gānglǐng ,N
剛強,gāngqiáng ,Vs
鋼鐵,gāngtiě ,N
崗位,găngwèi ,N
高見,gāojiàn ,N
高壓,gāoyā ,N
告別,gàobié ,V
告狀,gàozhuàng ,V-sep
胳膊(ㄅㄛ˙),gēbo,N
歌唱,gēchàng ,Vi
歌手,gēshǒu,N
歌頌,gēsòng ,V
疙瘩,gēda,N
鴿子,gēzi ,N
隔,gé ,Prep
隔閡,géhé ,N
隔天,gétiān,N
格局,géjú ,N
格式,géshì ,N
格外,géwài ,Adv
革新,géxīn ,V
各界,gèjiè ,N
各自,gèzì ,N
個數,gèshù,N
個體,gètǐ ,N
給予,gěiyŭ ,V
跟進,gēnjìn ,Vi
跟前,gēnqián ,N
根源,gēnyuán ,N
耕地,gēngdì ,N
更動,gēngdòng ,V
弓,gōng ,N
工地,gōngdì ,N
工讀,gōngdú ,Vi
工藝品,gōngyìpǐn ,N
公安,gōngān ,N
公費,gōngfèi ,N
公會,gōnghuì ,N
公民,gōngmín ,N
公認,gōngrèn ,V
公事,gōngshì ,N
公文,gōngwén ,N
公務,gōngwù ,N
公務員,gōngwùyuán ,N
公益,gōngyì ,N
公債,gōngzhài ,N
功勞,gōngláo ,N
功利,gōnglì ,Vs
攻,gōng ,V
攻讀,gōngdú ,V
攻擊,gōngjí ,V
供給,gōnjǐ ,V
宮殿,gōngdiàn ,N
恭敬,gōngjìng ,Vs
恭維,gōngwéi ,V
鞏固,gǒnggù ,Vs
共產,gòngchăn ,Vs-attr
共和國,gònghéguó ,N
共鳴,gòngmíng ,N
供養,gòngyăng ,V
勾結,gōujié ,V
溝,gōu,N
購,gòu ,V
構想,gòuxiăng ,N
孤獨,gūdú ,Vs
孤兒,gūér ,N
孤立,gūlì ,Vs
辜負,gūfù ,Vst
估價,gūjià ,V-sep
古怪,gŭguài ,Vs
古跡,gŭjī ,N
古籍,gŭjí ,N
古物,gŭwù ,N
股,gŭ ,M
股市,gŭshì ,N
鼓吹,gŭchuī ,V
鼓動,gŭdòng ,V
故,gù ,Conj
雇/僱,gù ,V
雇/僱用,gùyòng ,V
固然,gùrán ,Conj
固體,gùtǐ ,N
固有,gùyǒu ,Vs-attr
固執,gùzhí ,Vs
顧全,gùquán ,V
蝸牛,guāniú ,N
寡婦,guăfù ,N
拐,guăi ,V
怪不得,guàibùdé ,Adv
