詞彙,漢語拼音,詞類
土地,tǔdì ,N
兔子,tùzi ,N
團體,tuántǐ ,N
團圓,tuányuán ,Vs
推,tuī,V
推薦,tuījiàn ,V
推銷,tuīxiāo ,V
退步,tuìbù ,Vp
退休,tuìxiū ,Vp
脫,tuō ,V
娃娃(ㄨㄚ˙),wáwa ,N
外邊,wàibiān ,N
外公,wàigōng ,N
外婆,wàipó ,N
外文,wàiwén ,N
外語,wàiyǔ ,N
完成,wánchéng ,Vpt
完全,wánquán ,Adv
玩具,wánjù ,N
晚,wǎn ,Vs
萬一,wànyī ,Adv
網,wăng ,N
網路,wănglù ,N
往往,wăngwăng  ,Adv
忘記,wàngjì ,Vpt
維持,wéichí ,V
微笑,wéixiào ,Vi
為主,wéizhŭ ,Vs
偉大,wěidà ,Vs
為,wèi ,Prep
未來,wèilái ,N
位置,wèizhì ,N
位子,wèizi ,N
溫柔,wēnróu ,Vs
文件,wénjiàn ,N
文學,wénxué ,N
文字,wénzì ,N
聞,wén ,V
穩定,wěndìng ,Vs
問好,wènhăo ,Vi
問候,wènhòu ,V
握手,wòshǒu ,V-sep
屋子,wūzi ,N
無,wú ,Vs-attr
無法,wúfă ,Adv
無論如何,wúlùnrúhé ,Conj
無窮,wúqióng ,Vs
無所謂,wúsuŏwèi ,Vs
誤會,wùhuì ,N
物價,wùjià ,N
西北,xīběi ,N
西餐,xīcān ,N
西方,xīfāng ,N
西南,xīnán ,N
吸毒,xīdú ,V-sep
吸收,xīshōu ,V
吸引,xīyĭn ,Vst
犧牲,xīshēng ,Vpt
希望,xīwàng ,N
喜愛,xĭài ,Vst
細,xì ,Vs
細心,xìxīn  ,Vs
戲,xì ,N
戲劇,xìjù ,N
系統,xìtŏng  ,N
下,xià ,Det
下,xià ,M
下,xià ,N
下,xià ,V
下來(ㄌㄞ˙),xiàlai,Ptc
嚇,xià ,Vs-pred
嚇一跳,xiàyítiào  ,Vp
線,xiàn ,N
現代,xiàndài ,N
現代,xiàndài ,Vs
現實,xiànshí ,N
現實,xiànshí ,Vs
現象,xiànxiàng ,N
限制,xiànzhì ,N
相當,xiāngdāng ,Adv
相對,xiāngduì ,Vs-attr
相反,xiāngfăn ,Vs
相關,xiāngguān ,Vs
相同,xiāngtóng ,Vs
箱子,xiāngzi,N
香水,xiāngshuĭ,N
詳細,xiángxì ,Vs
響,xiǎng ,Vp
想到,xiăngdào ,Vpt
想法,xiǎngfǎ ,N
想像,xiăngxiàng ,N
想像,xiăngxiàng ,Vst
項,xiàng ,M
相機,xiàngjī ,N
相聲,xiàngshēng ,N
小吃,xiăochī ,N
小朋友,xiǎopéngyǒu ,N
小組,xiăozŭ ,N
效果,xiàoguŏ,N
笑話,xiàohuà,N
孝順,xiàoshùn ,Vs
協助,xiézhù ,V
血,xiě ,N
謝,xiè ,V
心得,xīndé ,N
心理,xīnlĭ ,N
心意,xīnyì ,N
欣賞,xīnshăng ,Vst
新生,xīnshēng ,N
信,xìn ,Vst
信箱,xìnxiāng ,N
信心,xìnxīn ,N
興奮,xīngfèn ,Vs
行,xíng,Vs
行動,xíngdòng ,N
行為,xíngwéi ,N
形容,xíngróng ,V
醒,xĭng ,Vp
醒來,xĭnglái ,Vp
姓,xìng ,N
性別,xìngbié ,N
性格,xìnggé ,N
幸好,xìnghăo ,Adv
幸虧,xìngkuī ,Adv
幸運,xìngyùn ,Vs
兇,xiōng ,Vs
兄弟,xiōngdì ,N
熊貓,xióngmāo ,N
修,xiū ,V
修改,xiūgăi ,V
修理,xiūlĭ  ,V
需求,xūqiú  ,N
需要,xūyào ,N
選,xuǎn ,V
選舉,xuănjŭ ,N
選擇,xuǎnzé ,N
選擇,xuǎnzé ,V
學會,xuéhuì ,Vpt
學問,xuéwèn ,N
尋找,xúnzhăo ,V
訓練,xùnliàn ,V
呀,yā ,Ptc
鴨(子),yā(zi) ,N
押金,yājīn ,N
牙,yá ,N
牙齒,yáchǐ ,N
煙火,yānhuŏ ,N
研究,yánjiù ,N
研究,yánjiù ,V
嚴重,yánzhòng ,Vs
演,yăn ,V
演出,yănchū ,V
演講,yănjiăng ,Vi
演員,yănyuán ,N
眼光,yănguāng ,N
眼淚,yănlèi ,N
陽光,yángguāng ,N
養,yăng ,V
樣,yàng ,M
樣樣,yàngyàng ,Det
邀請,yāoqĭng ,V
要求,yāoqiú ,N
要求,yāoqiú ,V
咬,yăo ,V
要,yào ,Vst
要不然,yàobùrán ,Conj
要不是,yàobúshì ,Conj
要緊,yàojǐn ,Vs
野餐,yěcān ,Vi
也好,yěhăo ,
頁,yè ,M
夜裡/裏,yèlǐ/lǐ ,N
夜市,yèshì ,N
一下子/一下子兒,yīxiàzi/yīxiàzir,N
衣櫃,yīguì ,N
依靠,yīkào ,V
一塊/一塊兒,yíkuài/yíkuàir,Adv
一切,yíqiè,Det
一向,yíxiàng ,Adv
一樣,yíyàng ,Vs
已,yĭ ,Adv
以,yĭ ,Prep
以後,yĭhòu,N
以來,yĭlái ,N
以免,yĭmiăn ,Conj
以內,yĭnèi ,N
以前,yĭqián,N
以上,yĭshàng ,N
以外,yĭwài ,N
以為,yǐwéi ,V
以下,yĭxià ,N
一般來說,yìbānláishuō ,
一點/一點兒,yìdiǎn/yìdiǎnr,Adv
一方面,yìfāngmiàn ,Conj
一連,yìlián ,Adv
一生,yìshēng ,N
一時,yìshí ,N
一同,yìtóng ,Adv
意見,yìjiàn ,N
意外,yìwài ,N
意義,yìyì ,N
陰,yīn ,Vs
因此,yīncǐ ,Conj
音響,yīnxiăng ,N
引起,yĭnqĭ,V
應,yīng ,Vaux
應該,yīnggāi ,Vaux
英俊,yīngjùn ,Vs
營養,yíngyăng ,N
影片,yĭngpiàn ,N
擁有,yŏngyŏu ,Vst
用,yòng,Prep
用法,yòngfă ,N
用功,yònggōng ,Vs
用品,yòngpĭn ,N
優點,yōudiăn ,N
優秀,yōuxiù ,Vs
幽默,yōumò ,Vs
郵票,yóupiào,N
尤其,yóuqí ,Adv
遊客,yóukè ,N
游泳池,yóuyŏngchí,N
由於,yóuyú ,Conj
有(一)點/有(一)點兒,yǒu(yì)diăn/yǒu(yì)diănr,Adv
有的,yǒude ,Det
有名,yǒumíng ,Vs
有錢,yǒuqián ,Vs
有效,yŏuxiào ,Vs
有意思,yǒuyìsi,Vs
友誼,yŏuyí ,N
於是,yúshì ,Conj
與,yǔ ,Conj
與,yǔ ,Prep
玉,yù ,N
玉米,yùmǐ ,N
預備,yùbèi ,V
預備,yùbèi ,V
預習,yùxí ,V
遇到,yùdào ,Vpt
圓,yuán ,N
員工,yuángōng ,N
原諒,yuánliàng ,Vst
原因,yuányīn ,N
願望,yuànwàng ,N
院子,yuànzi,N
約,yuē ,Adv
約會,yuēhuì ,N
約會,yuēhuì ,Vi
越,yuè ,Adv
月餅,yuèbĭng  ,N
閱讀,yuèdú ,V
樂團,yuètuán ,N
運氣,yùnqì ,N
在,zài ,Vst
在意,zàiyì ,Vst
在於,zàiyú ,Vst
早,zăo ,Adv
早日,zăorì ,Adv
早晚,zăowăn ,N
造成,zàochéng ,Vpt
噪音,zàoyīn ,N
責任,zérèn ,N
增加,zēngjiā ,Vpt
炸/炸,zhà/zhá ,V
摘,zhāi ,V
站,zhàn,N
暫時,zhànshí ,Adv
戰爭,zhànzhēng ,N
長,zhǎng,V
長大,zhǎngdà ,Vp
掌握,zhăngwò ,V
障礙,zhàngài ,N
招待,zhāodài ,V
招牌,zhāopái ,N
找錢,zhǎoqián ,V-sep
照,zhào ,Prep
照,zhào ,V
哲學,zhéxué ,N
這裏,zhèlĭ,N
這下子,zhèxiàzi ,N
這樣,zhèyàng,Vs
這樣子,zhèyàngzi ,Adv
這樣子,zhèyàngzi ,Vs
真的,zhēnde ,Adv
真理,zhēnlĭ,N
真實,zhēnshí ,Vs
真是,zhēnshì ,Adv
真心,zhēnxīn ,Vs
真正,zhēnzhèng ,Adv
真正,zhēnzhèng ,Vs-attr
珍貴,zhēnguì ,Vs
整,zhěng ,Det
整理,zhěnglĭ ,V
整齊,zhěngqí ,Vs
正,zhèng ,Adv
正常,zhèngcháng ,Vs
正確,zhèngquè ,Vs
正式,zhèngshì ,Vs
證明,zhèngmíng ,V
證書,zhèngshū ,N
支,zhī ,M
知,zhī ,Vst
知識,zhīshì ,N
之後,zhīhòu ,N
之間,zhījiān ,N
之前,zhīqián,N
直,zhí ,Vs
直到,zhídào ,Prep
值得,zhídé ,Vst
殖民地,zhímíndì ,N
植物,zhíwù ,N
職員,zhíyuán ,N
指,zhǐ ,V
只是,zhĭshì ,Conj
只要,zhǐyào ,Conj
只有,zhǐyǒu ,Adv
只有,zhĭyŏu ,Conj
制度,zhìdù ,N
智慧,zhìhuì ,N
至少,zhìshăo ,Adv
至於,zhìyú ,Prep
中,zhōng ,N
中部,zhōngbù ,N
中餐,zhōngcān ,N
終於,zhōngyú ,Adv
鐘,zhōng ,N
種,zhòng,V
重點,zhòngdiăn ,N
重視,zhòngshì ,Vst
周圍,zhōuwéi ,N
主動,zhŭdòng ,Vs
主婦,zhŭfù ,N
主管,zhŭguăn ,N
主人,zhǔrén ,N
主任,zhǔrèn ,N
主題,zhŭtí ,N
主要,zhǔyào ,Adv
主要,zhŭyào ,Vs-attr
主意,zhǔyì ,N
祝,zhù,V
祝福,zhùfú ,N
祝福,zhùfú ,V
助,zhù ,V
助理,zhùlĭ ,N
著名,zhùmíng ,Vs
抓,zhuā ,V
專心,zhuānxīn ,Vs
專業,zhuānyè ,Vs-attr
狀態,zhuàngtài ,N
追求,zhuīqiú ,V
準時,zhŭnshí ,Vs
著,zhuó ,V
資料,zīliào ,N
資源,zīyuán ,N
仔細,zĭxì ,Vs
自從,zìcóng ,Prep
自動,zìdòng ,Vs
自然,zìrán ,Vs
自殺,zìshā ,Vi
自信,zìxìn ,N
自由,zìyóu ,N
自由,zìyóu ,Vs
自在,zìzài ,Vs
宗教,zōngjiào ,N
總而言之,zǒngéryánzhī ,Conj
總算,zǒngsuàn ,Adv
總統,zǒngtǒng ,N
總之,zǒngzhī ,Conj
走走,zǒuzǒu ,Vi
組,zŭ ,M
祖父,zŭfù ,N
祖母,zŭmŭ ,N
祖先,zŭxiān ,N
嘴,zuǐ ,N
醉,zuì ,Vp
最初,zuìchū ,N
最多,zuìduō ,Adv
最好,zuìhǎo ,Adv
最後,zuìhòu ,N
最佳,zuìjiā ,Vs-attr
最近,zuìjìn,N
尊敬,zūnjìng ,Vst
作,zuò ,V
作品,zuòpĭn ,N
作者,zuòzhě ,N
座,zuò ,M
做/作法,zuòfă ,N
做夢,zuòmèng ,V-sep
做人,zuòrén ,Vi
做事,zuòshì ,Vi
